category,open,high,low,close
Thu Feb 16 2023,9.350000381469727,9.791000366210938,9.15999984741211,9.40999984741211
Fri Feb 17 2023,9.399999618530273,9.399999618530273,9.170000076293945,9.260000228881836
Tue Feb 21 2023,9.210000038146973,9.699999809265137,9.130000114440918,9.5600004196167
Wed Feb 22 2023,9.5,9.770000457763672,9.470000267028809,9.569999694824219
Thu Feb 23 2023,9.630000114440918,9.699999809265137,9.430000305175781,9.449999809265137
Fri Feb 24 2023,9.25,9.380000114440918,8.5,8.5600004196167
Mon Feb 27 2023,8.800000190734863,8.819999694824219,8.1899995803833,8.380000114440918
Tue Feb 28 2023,8.319999694824219,8.517999649047852,8.039999961853027,8.0600004196167
Wed Mar 01 2023,8.149999618530273,8.229000091552734,7.809999942779541,7.880000114440918
Thu Mar 02 2023,7.869999885559082,8.520000457763672,7.71999979019165,8.34000015258789
Fri Mar 03 2023,8.449999809265137,8.59000015258789,8.289999961853027,8.479999542236328
Mon Mar 06 2023,8.65999984741211,10.039999961853027,8.625,9.34000015258789
Tue Mar 07 2023,9.300000190734863,9.989999771118164,9.220000267028809,9.479999542236328
Wed Mar 08 2023,9.649999618530273,9.942000389099121,9.529999732971191,9.6899995803833
Thu Mar 09 2023,9.739999771118164,9.9399995803833,9.199999809265137,9.210000038146973
Fri Mar 10 2023,9.170000076293945,9.404999732971191,8.819999694824219,8.880000114440918
Mon Mar 13 2023,8.65999984741211,9,8.428000450134277,8.880000114440918
Tue Mar 14 2023,8.829999923706055,9.390000343322754,8.829999923706055,9.279999732971191
Wed Mar 15 2023,9.100000381469727,9.239999771118164,8.470000267028809,8.479999542236328
Thu Mar 16 2023,8.520000457763672,8.699999809265137,8.020000457763672,8.09000015258789
Fri Mar 17 2023,8.109999656677246,8.170000076293945,7.900000095367432,7.960000038146973